ndays,MJm2
2556,18.486
2557,17.298
2558,17.766
2559,18.054
2560,16.362
2561,16.362
2562,10.17
2563,19.26
2564,19.422
2565,19.98
2566,16.452
2567,16.866
2568,14.976
2569,18.594
2570,17.784
2571,17.352
2572,13.338
2573,13.464
2574,16.092
2575,11.052
2576,18.414
2577,18.882
2578,17.136
2579,13.158
2580,12.384
2581,14.832
2582,17.586
2583,19.386
2584,18.504
2585,16.344
2586,16.668
2587,17.802
2588,16.164
2589,13.266
2590,18.648
2591,14.652
2592,18.468
2593,20.88
2594,20.286
2595,20.286
2596,14.994
2597,6.246
2598,2.212956
2599,15.066
2600,20.61
2601,19.692
2602,21.798
2603,20.808
2604,21.6
2605,16.56
2606,20.772
2607,10.638
2608,20.682
2609,16.236
2610,15.354
2611,20.286
2612,10.44
2613,19.692
2614,11.466
2615,21.204
2616,13.266
2617,20.376
2618,13.32
2619,27.216
2620,31.32
2621,29.61
2622,29.718
2623,25.794
2624,31.014
2625,34.236
2626,31.032
2627,33.516
2628,34.056
2629,21.996
2630,31.752
2631,31.626
2632,23.796
2633,32.724
2634,29.322
2635,27.198
2636,17.892
2637,27.27
2638,31.068
2639,29.646
2640,28.314
2641,29.034
2642,33.426
2643,27.756
2644,30.024
2645,34.668
2646,33.336
2647,31.716
2648,25.992
2649,30.258
2650,24.768
2651,20.31312615
2652,22.698
2653,27.81
2654,16.596
2655,12.06
2656,26.01
2657,15.39
2658,18.792
2659,22.77
2660,19.278
2661,22.302
2662,21.276
2663,20.862
2664,18.576
2665,8.658
2666,15.462
2667,15.876
2668,12.24
2669,17.82
2670,12.726
2671,17.03527979
2672,9.828
2673,5.706
2674,10.044
2675,7.452
2676,6.138
2677,16.87824954
2678,15.246
2679,21.078
2680,19.458
2681,19.188
2682,15.22424439
2683,12.546
2684,15.39349956
2685,15.62972085
2686,13.842
2687,18.029556
2688,16.745976
2689,15.50518822
2690,13.306572
2691,8.256456
2692,7.67538
2693,19.40058
2694,18.18
2695,16.182
2696,16.797996
2697,8.980092
2698,12.92184
2699,6.156
2700,23.796
2701,23.868
2702,14.976
2703,16.974
2704,11.934
2705,19.494
2706,14.602896
2707,11.432052
2708,6.215472
2709,10.253016
2710,16.967412
2711,11.977668
2712,11.56608
2713,19.872
2714,17.669736
2715,17.593128
2716,16.016652
2717,9.795384
2718,15.02766
2719,8.65386
2720,6.836328
2721,8.905212
2722,13.155516
2723,13.202532
2724,13.824036
2725,9.235764
2726,17.944308
2727,12.812076
2728,10.418832
2729,18.806436
2730,14.305572
2731,8.323884
2732,18.785268
2733,7.145064
2734,13.151628
2735,15.467796
2736,10.614096
2737,7.232796
2738,13.73404455
2739,16.073964
2740,13.49729947
2741,13.44588812
2742,5.738328
2743,17.923068
2744,13.32787729
2745,13.41251818
2746,13.58286836
2747,13.76763815
2748,12.738204
2749,21.108924
2750,13.68080828
2751,13.85560006
2752,11.014056
2753,7.783344
2754,13.09212
2755,13.272228
2756,20.682
2757,17.406
2758,2.935584
2759,6.099588
2760,14.778
2761,12.87
