Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,11/9/2011,30-40,1,39.5,65.4
LUTZ *,11/9/2011,30-40,2,37.5,59.9
LUTZ *,11/9/2011,30-40,3,42.8,74.9
LUTZ *,11/9/2011,30-40,4,36,56.3
LUTZ *,11/9/2011,30-40,5,42,72.4
LUTZ *,11/9/2011,30-40,6,46.9,88.3
LUTZ *,11/9/2011,30-40,7,36.9,58.5
LUTZ *,11/9/2011,30-40,8,30.4,43.8
LUTZ *,11/9/2011,30-40,9,34.9,53.5
LUTZ *,11/9/2011,30-40,10,29.3,41.4
LUTZ *,11/24/2011,0-10,1,44.7,80.7
LUTZ *,11/24/2011,0-10,2,42.2,73
LUTZ *,11/24/2011,0-10,3,41.7,71.5
LUTZ *,11/24/2011,0-10,4,42,72.3
LUTZ *,11/24/2011,0-10,5,43.7,77.6
LUTZ *,11/24/2011,0-10,6,47.6,91
LUTZ *,11/24/2011,0-10,7,45.5,83.3
LUTZ *,11/24/2011,0-10,8,49.1,96.4
LUTZ *,11/24/2011,0-10,9,40,66.7
LUTZ *,11/24/2011,0-10,10,39.7,65.8
LUTZ *,11/24/2011,30-40,1,42.5,73.8
LUTZ *,11/24/2011,30-40,2,38.4,62.2
LUTZ *,11/24/2011,30-40,3,40.4,67.7
LUTZ *,11/24/2011,30-40,4,37.2,59.3
LUTZ *,11/24/2011,30-40,5,40.8,69
LUTZ *,11/24/2011,30-40,6,44.6,80.6
LUTZ *,11/24/2011,30-40,7,35.9,56
LUTZ *,11/24/2011,30-40,8,21.9,28
LUTZ *,11/24/2011,30-40,9,32.2,47.4
LUTZ *,11/24/2011,30-40,10,32.3,47.7
LUTZ *,12/13/2011,0-10,1,39.8,66
LUTZ *,12/13/2011,0-10,2,40.8,68.8
LUTZ *,12/13/2011,0-10,3,47.9,91.8
LUTZ *,12/13/2011,0-10,4,39.2,64.5
LUTZ *,12/13/2011,0-10,5,44.1,79
LUTZ *,12/13/2011,0-10,6,45.3,82.6
LUTZ *,12/13/2011,0-10,7,50.5,101.9
LUTZ *,12/13/2011,0-10,8,41.6,71.2
LUTZ *,12/13/2011,0-10,9,41.2,70.2
LUTZ *,12/13/2011,0-10,10,39.1,64.3
LUTZ *,12/13/2011,30-40,1,37.9,61
LUTZ *,12/13/2011,30-40,2,34.6,53
LUTZ *,12/13/2011,30-40,3,39.2,64.5
LUTZ *,12/13/2011,30-40,4,35.1,54.2
LUTZ *,12/13/2011,30-40,5,36.5,57.6
LUTZ *,12/13/2011,30-40,6,43.9,78.2
LUTZ *,12/13/2011,30-40,7,35.4,54.7
LUTZ *,12/13/2011,30-40,8,31.8,46.7
LUTZ *,12/13/2011,30-40,9,44.4,79.9
LUTZ *,12/13/2011,30-40,10,31.5,45.9
LUTZ *,12/22/2011,0-10,1,40.9,69.2
LUTZ *,12/22/2011,0-10,2,43.8,77.9
LUTZ *,12/22/2011,0-10,3,46,85.1
LUTZ *,12/22/2011,0-10,4,42.1,72.7
LUTZ *,12/22/2011,0-10,5,41.3,70.4
LUTZ *,12/22/2011,0-10,6,47.8,91.6
LUTZ *,12/22/2011,0-10,7,47.4,90.1
LUTZ *,12/22/2011,0-10,8,34.3,52.3
LUTZ *,12/22/2011,0-10,9,43.1,75.7
LUTZ *,12/22/2011,0-10,10,39,64
LUTZ *,12/22/2011,30-40,1,42.9,75
LUTZ *,12/22/2011,30-40,2,34.5,52.8
LUTZ *,12/22/2011,30-40,3,40.8,68.9
LUTZ *,12/22/2011,30-40,4,35.1,54.2
LUTZ *,12/22/2011,30-40,5,38.5,62.7
LUTZ *,12/22/2011,30-40,6,43.9,78.3
LUTZ *,12/22/2011,30-40,7,38.1,61.5
LUTZ *,12/22/2011,30-40,8,21.8,27.8
LUTZ *,12/22/2011,30-40,9,34.3,52.1
