Site,Date,Depth(cm),Sample#,H2O_by_wet(%),H2O_by_dry(%)
LUTZ *,8/25/1977,0-5,3,49.9,99.6
LUTZ *,8/25/1977,0-5,4,39.6,65.6
LUTZ *,8/25/1977,0-5,5,39.6,65.6
LUTZ *,8/25/1977,0-5,6,37.6,60.4
LUTZ *,8/25/1977,0-5,7,40.6,68.3
LUTZ *,8/25/1977,0-5,8,45.9,85
LUTZ *,8/25/1977,0-5,9,48.9,95.7
LUTZ *,8/25/1977,0-5,10,42.2,73
LUTZ *,9/1/1977,0-5,1,46.9,88.3
LUTZ *,9/1/1977,0-5,2,47.4,90.1
LUTZ *,9/1/1977,0-5,3,39.8,66
LUTZ *,9/1/1977,0-5,4,43.1,75.6
LUTZ *,9/1/1977,0-5,5,36.8,58.3
LUTZ *,9/1/1977,0-5,6,38.8,63.4
LUTZ *,9/1/1977,0-5,7,44,78.5
LUTZ *,9/1/1977,0-5,8,47.6,90.7
LUTZ *,9/1/1977,0-5,9,42.4,73.6
LUTZ *,9/1/1977,0-5,10,40.1,66.9
LUTZ *,9/7/1977,0-5,1,45.5,83.6
LUTZ *,9/7/1977,0-5,2,45.3,82.8
LUTZ *,9/7/1977,0-5,3,53.8,116.3
LUTZ *,9/7/1977,0-5,4,55.4,124.1
LUTZ *,9/7/1977,0-5,5,44,78.7
LUTZ *,9/7/1977,0-5,6,43.9,78.3
LUTZ *,9/7/1977,0-5,7,44.4,80
LUTZ *,9/7/1977,0-5,8,44.7,81
LUTZ *,9/7/1977,0-5,9,46.4,86.6
LUTZ *,9/7/1977,0-5,10,40.1,66.8
LUTZ *,9/15/1977,0-5,1,51.7,106.9
LUTZ *,9/15/1977,0-5,2,52,108.5
LUTZ *,9/15/1977,0-5,3,52.1,108.9
LUTZ *,9/15/1977,0-5,4,38.4,62.3
LUTZ *,9/15/1977,0-5,5,39,63.9
LUTZ *,9/15/1977,0-5,6,38.8,63.5
LUTZ *,9/15/1977,0-5,7,44.3,79.6
LUTZ *,9/15/1977,0-5,8,46.9,88.3
LUTZ *,9/15/1977,0-5,9,46.8,88
LUTZ *,9/15/1977,0-5,10,41.6,71.2
LUTZ *,9/22/1977,0-5,1,45.2,82.5
LUTZ *,9/22/1977,0-5,2,44.5,80
LUTZ *,9/22/1977,0-5,3,52,108.5
LUTZ *,9/22/1977,0-5,4,47.7,91.3
LUTZ *,9/22/1977,0-5,5,39.4,65
LUTZ *,9/22/1977,0-5,6,41.3,70.3
LUTZ *,9/22/1977,0-5,7,43.7,77.7
LUTZ *,9/22/1977,0-5,8,43.1,75.9
LUTZ *,9/22/1977,0-5,9,35.9,56
LUTZ *,9/22/1977,0-5,10,36.7,57.9
LUTZ *,9/29/1977,0-5,1,47.6,90.7
LUTZ *,9/29/1977,0-5,2,25.4,34.1
LUTZ *,9/29/1977,0-5,3,61,156.6
LUTZ *,9/29/1977,0-5,4,47.4,90.2
LUTZ *,9/29/1977,0-5,5,38.9,63.7
LUTZ *,9/29/1977,0-5,6,39.2,64.4
LUTZ *,9/29/1977,0-5,7,42.1,72.7
LUTZ *,9/29/1977,0-5,8,46.9,88.4
LUTZ *,9/29/1977,0-5,9,40.9,69.2
LUTZ *,9/29/1977,0-5,10,44.6,80.6
LUTZ *,10/6/1977,0-5,1,45.1,82
LUTZ *,10/6/1977,0-5,2,50.9,103.8
LUTZ *,10/6/1977,0-5,3,56.8,131.3
LUTZ *,10/6/1977,0-5,4,38.2,61.9
LUTZ *,10/6/1977,0-5,5,41.9,72.2
LUTZ *,10/6/1977,0-5,6,45,81.9
LUTZ *,10/6/1977,0-5,7,43,75.4
LUTZ *,10/6/1977,0-5,8,45.5,83.4
LUTZ *,10/6/1977,0-5,9,43.2,76
LUTZ *,10/6/1977,0-5,10,50.1,100.4
LUTZ *,10/13/1977,0-5,1,44.7,81
LUTZ *,10/13/1977,0-5,2,46.5,86.8
LUTZ *,10/13/1977,0-5,3,48,92.5
LUTZ *,10/13/1977,0-5,4,39.1,64.1
LUTZ *,10/13/1977,0-5,5,44,78.5
LUTZ *,10/13/1977,0-5,6,37.3,59.5
LUTZ *,10/13/1977,0-5,7,48.3,93.4
LUTZ *,10/13/1977,0-5,8,46.5,87.1
LUTZ *,10/13/1977,0-5,9,47.4,90.1
LUTZ *,10/13/1977,0-5,10,53.6,115.3
LUTZ *,10/20/1977,0-5,1,49.9,99.4
LUTZ *,10/20/1977,0-5,2,46.9,88.3
LUTZ *,10/20/1977,0-5,3,43.7,77.6
LUTZ *,10/20/1977,0-5,4,46.8,87.9
LUTZ *,10/20/1977,0-5,5,49.4,97.6
LUTZ *,10/20/1977,0-5,6,40.8,68.8
LUTZ *,10/20/1977,0-5,7,43.8,77.9
LUTZ *,10/20/1977,0-5,8,49.3,97.4
LUTZ *,10/20/1977,0-5,9,50.2,100.6
LUTZ *,10/20/1977,0-5,10,43.6,77.2
LUTZ *,10/27/1977,0-5,1,46.6,87.4
LUTZ *,10/27/1977,0-5,2,46.4,86.5
LUTZ *,10/27/1977,0-5,3,50.6,102.3
LUTZ *,10/27/1977,0-5,4,44,78.7
LUTZ *,10/27/1977,0-5,5,43.1,75.8
LUTZ *,10/27/1977,0-5,6,38.4,62.3
LUTZ *,10/27/1977,0-5,7,43.5,76.8
LUTZ *,10/27/1977,0-5,8,49.2,96.8
LUTZ *,10/27/1977,0-5,9,47.5,90.5
LUTZ *,10/27/1977,0-5,10,42.3,73.3
LUTZ *,11/3/1977,0-5,1,52.6,110.8
LUTZ *,11/3/1977,0-5,2,48.7,94.8
LUTZ *,11/3/1977,0-5,3,49.6,98.3
LUTZ *,11/3/1977,0-5,4,33.6,50.7
LUTZ *,11/3/1977,0-5,5,43.5,77
LUTZ *,11/3/1977,0-5,6,37,58.7
LUTZ *,11/3/1977,0-5,7,40.6,68.2
LUTZ *,11/3/1977,0-5,8,41.2,70.2
LUTZ *,11/3/1977,0-5,9,48.5,94.1
LUTZ *,11/3/1977,0-5,10,44.4,79.9
LUTZ *,11/10/1977,0-5,1,46.3,86.3
LUTZ *,11/10/1977,0-5,2,46.3,86.1
LUTZ *,11/10/1977,0-5,3,45.6,83.9
LUTZ *,11/10/1977,0-5,4,35.9,56.1
LUTZ *,11/10/1977,0-5,5,40.4,67.9
LUTZ *,11/10/1977,0-5,6,39.8,66.1
LUTZ *,11/10/1977,0-5,7,43.3,76.2
LUTZ *,11/10/1977,0-5,8,50.7,102.9
LUTZ *,11/10/1977,0-5,9,44.6,80.4
LUTZ *,11/10/1977,0-5,10,44.1,78.8
LUTZ *,11/17/1977,0-5,1,43.7,77.7
LUTZ *,11/17/1977,0-5,2,44.5,80.2
LUTZ *,11/17/1977,0-5,3,42.6,74.4
LUTZ *,11/17/1977,0-5,4,39.2,64.5
LUTZ *,11/17/1977,0-5,5,41.6,71.3
LUTZ *,11/17/1977,0-5,6,43.3,76.3
LUTZ *,11/17/1977,0-5,7,46.4,86.4
LUTZ *,11/17/1977,0-5,8,51.6,106.5
LUTZ *,11/17/1977,0-5,9,50.2,100.6
LUTZ *,11/17/1977,0-5,10,39,63.9
LUTZ *,11/25/1977,0-5,1,46.9,88.4
LUTZ *,11/25/1977,0-5,2,47,88.8
LUTZ *,11/25/1977,0-5,3,41.4,70.5
LUTZ *,11/25/1977,0-5,4,41.2,70.1
LUTZ *,11/25/1977,0-5,5,45.4,83.1
LUTZ *,11/25/1977,0-5,6,39.6,65.6
LUTZ *,11/25/1977,0-5,7,40.5,68.1
LUTZ *,11/25/1977,0-5,8,41.5,71
LUTZ *,11/25/1977,0-5,9,44.2,79.1
LUTZ *,11/25/1977,0-5,10,54.8,121.5
LUTZ *,12/1/1977,0-5,1,53.1,113.3
LUTZ *,12/1/1977,0-5,2,46.9,88.4
LUTZ *,12/1/1977,0-5,3,47.5,90.6
LUTZ *,12/1/1977,0-5,4,39.2,64.5
LUTZ *,12/1/1977,0-5,5,41,69.6
LUTZ *,12/1/1977,0-5,6,42.5,74
LUTZ *,12/1/1977,0-5,7,46.3,86.3
LUTZ *,12/1/1977,0-5,8,46.5,86.9
LUTZ *,12/1/1977,0-5,9,46.6,87.2
LUTZ *,12/1/1977,0-5,10,46,85.3
LUTZ *,12/8/1977,0-5,1,43.4,76.8
LUTZ *,12/8/1977,0-5,2,45.5,83.5
LUTZ *,12/8/1977,0-5,3,39.3,64.7
LUTZ *,12/8/1977,0-5,4,42.4,73.5
LUTZ *,12/8/1977,0-5,5,39.8,66.1
LUTZ *,12/8/1977,0-5,6,39.8,66.1
LUTZ *,12/8/1977,0-5,7,38.6,62.9
LUTZ *,12/8/1977,0-5,8,40,66.7
LUTZ *,12/8/1977,0-5,9,46.9,88.3
LUTZ *,12/8/1977,0-5,10,50.7,103
LUTZ *,12/15/1977,0-5,1,40.5,68.1
LUTZ *,12/15/1977,0-5,2,42.8,74.7
LUTZ *,12/15/1977,0-5,3,43.4,76.5
LUTZ *,12/15/1977,0-5,4,38.9,63.7
LUTZ *,12/15/1977,0-5,5,39.4,65
LUTZ *,12/15/1977,0-5,6,42.6,74.1
LUTZ *,12/15/1977,0-5,7,42.3,73.2
LUTZ *,12/15/1977,0-5,8,40.8,68.9
LUTZ *,12/15/1977,0-5,9,46,85.3
LUTZ *,12/15/1977,0-5,10,45.3,83
LUTZ *,12/22/1977,0-5,1,39.7,65.8
LUTZ *,12/22/1977,0-5,2,57.4,134.5
LUTZ *,12/22/1977,0-5,3,39.3,64.7
LUTZ *,12/22/1977,0-5,4,41.6,71.1
LUTZ *,12/22/1977,0-5,5,40.9,69.1
LUTZ *,12/22/1977,0-5,6,46,85
LUTZ *,12/22/1977,0-5,7,53.7,116.2
LUTZ *,12/22/1977,0-5,8,45.5,83.5
LUTZ *,12/22/1977,0-5,9,34.8,53.4
LUTZ *,12/22/1977,0-5,10,41.1,69.8
LUTZ *,12/29/1977,0-5,1,41.7,71.7
LUTZ *,12/29/1977,0-5,2,40.6,68.3
LUTZ *,12/29/1977,0-5,3,38.2,61.7
LUTZ *,12/29/1977,0-5,4,35.6,55.3
LUTZ *,12/29/1977,0-5,5,37.4,59.8
LUTZ *,12/29/1977,0-5,6,29.3,41.5
LUTZ *,12/29/1977,0-5,7,38.4,62.4
LUTZ *,12/29/1977,0-5,8,38.3,62
LUTZ *,12/29/1977,0-5,9,36.5,57.6
LUTZ *,12/29/1977,0-5,10,43.2,76
LUTZ *,1/5/1978,0-5,1,37.4,59.8
LUTZ *,1/5/1978,0-5,2,35.8,55.7
LUTZ *,1/5/1978,0-5,3,35.3,54.5
LUTZ *,1/5/1978,0-5,4,33.2,49.7
LUTZ *,1/5/1978,0-5,5,32.6,48.4
LUTZ *,1/5/1978,0-5,6,40.3,67.4
LUTZ *,1/5/1978,0-5,7,34.3,52.2
LUTZ *,1/5/1978,0-5,8,34.5,52.6
LUTZ *,1/5/1978,0-5,9,37.2,59.2
LUTZ *,1/5/1978,0-5,10,36.5,57.5
LUTZ *,1/19/1978,0-5,1,35.5,55
LUTZ *,1/19/1978,0-5,2,33.9,51.3
LUTZ *,1/19/1978,0-5,3,30.1,43
LUTZ *,1/19/1978,0-5,4,35.7,55.5
LUTZ *,1/19/1978,0-5,5,29.7,42.3
LUTZ *,1/19/1978,0-5,6,35.5,55.1
LUTZ *,1/19/1978,0-5,7,35.2,54.2
LUTZ *,1/19/1978,0-5,8,34,51.4
LUTZ *,1/19/1978,0-5,9,36.1,56.4
LUTZ *,1/19/1978,0-5,10,29.7,42.2
LUTZ *,1/26/1978,0-5,1,34,51.5
LUTZ *,1/26/1978,0-5,2,33.5,50.3
LUTZ *,1/26/1978,0-5,3,34.8,53.3
LUTZ *,1/26/1978,0-5,4,29.3,41.5
LUTZ *,1/26/1978,0-5,5,29.5,41.8
LUTZ *,1/26/1978,0-5,6,34,51.5
LUTZ *,1/26/1978,0-5,7,29.4,41.6
LUTZ *,1/26/1978,0-5,8,33.3,50
LUTZ *,1/26/1978,0-5,9,34.2,52
LUTZ *,1/26/1978,0-5,10,34.7,53.2
LUTZ *,2/2/1978,0-5,1,30.3,43.4
LUTZ *,2/2/1978,0-5,2,34.7,53.1
LUTZ *,2/2/1978,0-5,3,34.5,52.7
LUTZ *,2/2/1978,0-5,4,41.9,72.1
LUTZ *,2/2/1978,0-5,5,38.2,61.9
LUTZ *,2/2/1978,0-5,6,38.4,62.4
LUTZ *,2/2/1978,0-5,7,35.1,54.1
LUTZ *,2/2/1978,0-5,8,38.7,63.1
LUTZ *,2/2/1978,0-5,9,44,78.6
LUTZ *,2/2/1978,0-5,10,36.9,58.6
LUTZ *,2/9/1978,0-5,1,36.9,58.6
LUTZ *,2/9/1978,0-5,2,32.5,48.2
LUTZ *,2/9/1978,0-5,3,38.1,61.7
LUTZ *,2/9/1978,0-5,4,38.7,63.1
LUTZ *,2/9/1978,0-5,5,36.6,57.6
LUTZ *,2/9/1978,0-5,6,36.3,57
LUTZ *,2/9/1978,0-5,7,34.3,52.2
LUTZ *,2/9/1978,0-5,8,39.6,65.5
LUTZ *,2/9/1978,0-5,9,38.6,62.9
LUTZ *,2/9/1978,0-5,10,36.2,56.7
LUTZ *,2/17/1978,0-5,1,35.4,54.7
LUTZ *,2/17/1978,0-5,2,28.7,40.2
LUTZ *,2/17/1978,0-5,3,30.8,44.5
LUTZ *,2/17/1978,0-5,4,31.7,46.4
LUTZ *,2/17/1978,0-5,5,30.3,43.5
LUTZ *,2/17/1978,0-5,6,34.7,53.2
LUTZ *,2/17/1978,0-5,7,30.7,44.3
LUTZ *,2/17/1978,0-5,8,34.3,52.3
LUTZ *,2/17/1978,0-5,9,30.2,43.3
LUTZ *,2/17/1978,0-5,10,34.6,53
LUTZ *,2/23/1978,0-5,1,35.7,55.5
LUTZ *,2/23/1978,0-5,2,28.4,39.7
LUTZ *,2/23/1978,0-5,3,29.4,41.6
LUTZ *,2/23/1978,0-5,4,28.6,40.1
LUTZ *,2/23/1978,0-5,5,32.7,48.7
LUTZ *,2/23/1978,0-5,6,33.5,50.4
LUTZ *,2/23/1978,0-5,7,30,42.9
LUTZ *,2/23/1978,0-5,8,34.5,52.6
LUTZ *,2/23/1978,0-5,9,38,61.3
LUTZ *,2/23/1978,0-5,10,31.2,45.3
LUTZ *,3/2/1978,0-5,1,30.6,44.1
LUTZ *,3/2/1978,0-5,2,34.4,52.5
LUTZ *,3/2/1978,0-5,3,31.6,46.2
LUTZ *,3/2/1978,0-5,4,29.5,41.8
LUTZ *,3/2/1978,0-5,5,36.3,56.9
LUTZ *,3/2/1978,0-5,6,32.5,48.1
LUTZ *,3/2/1978,0-5,7,32.7,48.6
LUTZ *,3/2/1978,0-5,8,17.1,20.6
LUTZ *,3/2/1978,0-5,9,30.3,43.5
LUTZ *,3/2/1978,0-5,10,30.7,44.4
LUTZ *,3/9/1978,0-5,1,31.9,46.9
LUTZ *,3/9/1978,0-5,2,28.8,40.5
LUTZ *,3/9/1978,0-5,3,27.7,38.2
LUTZ *,3/9/1978,0-5,4,28.7,40.3
LUTZ *,3/9/1978,0-5,5,26.8,36.6
LUTZ *,3/9/1978,0-5,6,29.8,42.5
LUTZ *,3/9/1978,0-5,7,24.8,33.1
LUTZ *,3/9/1978,0-5,8,31.2,45.3
LUTZ *,3/9/1978,0-5,9,27.9,38.7
LUTZ *,3/9/1978,0-5,10,31.3,45.5
LUTZ *,3/17/1978,0-5,1,29.3,41.5
LUTZ *,3/17/1978,0-5,2,28.6,40.1
LUTZ *,3/17/1978,0-5,3,34.3,52.3
LUTZ *,3/17/1978,0-5,4,30.2,43.3
LUTZ *,3/17/1978,0-5,5,29.3,41.5
LUTZ *,3/17/1978,0-5,6,29.3,41.4
LUTZ *,3/17/1978,0-5,7,31.6,46.3
LUTZ *,3/17/1978,0-5,8,29.8,42.4
LUTZ *,3/17/1978,0-5,9,28.5,39.9
LUTZ *,3/17/1978,0-5,10,31.6,46.3
LUTZ *,3/23/1978,0-5,1,31.6,46.3
LUTZ *,3/23/1978,0-5,2,29.2,41.2
LUTZ *,3/23/1978,0-5,3,28,38.9
LUTZ *,3/23/1978,0-5,4,27.3,37.6
LUTZ *,3/23/1978,0-5,5,30.1,43.1
LUTZ *,3/23/1978,0-5,6,32.3,47.8
LUTZ *,3/23/1978,0-5,7,32.2,47.6
LUTZ *,3/23/1978,0-5,8,27.9,38.7
LUTZ *,3/23/1978,0-5,9,29.9,42.7
LUTZ *,3/23/1978,0-5,10,27.9,38.8
LUTZ *,3/30/1978,0-5,1,34.7,53.1
LUTZ *,3/30/1978,0-5,2,33.2,49.8
LUTZ *,3/30/1978,0-5,3,29.8,42.5
LUTZ *,3/30/1978,0-5,4,33,49.2
LUTZ *,3/30/1978,0-5,5,34.4,52.4
LUTZ *,3/30/1978,0-5,6,35.9,55.9
LUTZ *,3/30/1978,0-5,7,34.6,52.9
LUTZ *,3/30/1978,0-5,8,36.3,57
LUTZ *,3/30/1978,0-5,9,33.2,49.7
LUTZ *,3/30/1978,0-5,10,34.5,52.8
LUTZ *,4/6/1978,0-5,1,29,40.8
LUTZ *,4/6/1978,0-5,2,37.4,59.6
LUTZ *,4/6/1978,0-5,3,33.7,50.9
LUTZ *,4/6/1978,0-5,4,34.7,53.2
LUTZ *,4/6/1978,0-5,5,35.9,56
LUTZ *,4/6/1978,0-5,6,37.5,60
LUTZ *,4/6/1978,0-5,7,37.1,59.1
LUTZ *,4/6/1978,0-5,8,41.7,71.6
LUTZ *,4/6/1978,0-5,9,36.6,57.7
LUTZ *,4/6/1978,0-5,10,33.4,50.1
LUTZ *,4/13/1978,0-5,1,31.9,46.9
LUTZ *,4/13/1978,0-5,2,32.7,48.6
LUTZ *,4/13/1978,0-5,3,30.6,44.1
LUTZ *,4/13/1978,0-5,4,31.4,45.7
LUTZ *,4/13/1978,0-5,5,35.3,54.5
LUTZ *,4/13/1978,0-5,6,33.1,49.5
LUTZ *,4/13/1978,0-5,7,31.4,45.7
LUTZ *,4/13/1978,0-5,8,30.9,44.8
LUTZ *,4/13/1978,0-5,9,29.1,41
LUTZ *,4/13/1978,0-5,10,30.2,43.3
LUTZ *,4/20/1978,0-5,1,39.2,64.4
LUTZ *,4/20/1978,0-5,2,41.5,71
LUTZ *,4/20/1978,0-5,3,36.8,58.3
LUTZ *,4/20/1978,0-5,4,35.9,56.1
LUTZ *,4/20/1978,0-5,5,39.1,64.1
LUTZ *,4/20/1978,0-5,6,36.9,58.5
LUTZ *,4/20/1978,0-5,7,33.7,50.9
LUTZ *,4/20/1978,0-5,8,39.9,66.3
LUTZ *,4/20/1978,0-5,9,35.5,55.1
LUTZ *,4/20/1978,0-5,10,37.4,59.7
LUTZ *,4/27/1978,0-5,1,42,72.3
LUTZ *,4/27/1978,0-5,2,45,81.9
LUTZ *,4/27/1978,0-5,3,40.9,69.1
LUTZ *,4/27/1978,0-5,4,37.3,59.4
LUTZ *,4/27/1978,0-5,5,38.5,62.7
LUTZ *,4/27/1978,0-5,6,40.4,67.9
LUTZ *,4/27/1978,0-5,7,39.6,65.5
LUTZ *,4/27/1978,0-5,8,48.5,94.2
LUTZ *,4/27/1978,0-5,9,41,69.4
LUTZ *,4/27/1978,0-5,10,42.2,73
LUTZ *,5/5/1978,0-5,1,40.2,67.3
LUTZ *,5/5/1978,0-5,2,34.9,53.6
LUTZ *,5/5/1978,0-5,3,34.2,51.9
LUTZ *,5/5/1978,0-5,4,35.8,55.8
LUTZ *,5/5/1978,0-5,5,37.4,59.7
LUTZ *,5/5/1978,0-5,6,37.2,59.1
LUTZ *,5/5/1978,0-5,7,37.8,60.7
LUTZ *,5/5/1978,0-5,8,48.4,93.7
LUTZ *,5/5/1978,0-5,9,40.1,67
LUTZ *,5/5/1978,0-5,10,34.9,53.7
LUTZ *,5/11/1978,0-5,1,37.7,60.5
LUTZ *,5/11/1978,0-5,2,45.1,82.2
LUTZ *,5/11/1978,0-5,3,40,66.6
LUTZ *,5/11/1978,0-5,4,37.9,61
LUTZ *,5/11/1978,0-5,5,36.3,57.1
LUTZ *,5/11/1978,0-5,6,38.6,63
LUTZ *,5/11/1978,0-5,7,40,66.7
LUTZ *,5/11/1978,0-5,8,43.8,77.9
LUTZ *,5/11/1978,0-5,9,42.1,72.8
LUTZ *,5/11/1978,0-5,10,38.7,63.2
LUTZ *,5/19/1978,0-5,1,46,85.1
LUTZ *,5/19/1978,0-5,2,42.5,74
LUTZ *,5/19/1978,0-5,3,40.7,68.6
LUTZ *,5/19/1978,0-5,4,40.4,67.8
LUTZ *,5/19/1978,0-5,5,42.5,73.8
LUTZ *,5/19/1978,0-5,6,59.5,146.7
LUTZ *,5/19/1978,0-5,7,39.9,66.3
LUTZ *,5/19/1978,0-5,8,43.1,75.8
LUTZ *,5/19/1978,0-5,9,42.6,74.1
LUTZ *,5/19/1978,0-5,10,41.7,71.6
LUTZ *,5/26/1978,0-5,1,40.3,67.4
LUTZ *,5/26/1978,0-5,2,45.9,84.7
LUTZ *,5/26/1978,0-5,3,37.2,59.1
LUTZ *,5/26/1978,0-5,4,43.9,78.4
LUTZ *,5/26/1978,0-5,5,43.5,77.1
LUTZ *,5/26/1978,0-5,6,40.3,67.6
LUTZ *,5/26/1978,0-5,7,46.2,85.9
LUTZ *,5/26/1978,0-5,8,40.7,68.6
LUTZ *,5/26/1978,0-5,9,40.6,68.4
LUTZ *,5/26/1978,0-5,10,44.1,79
LUTZ *,6/1/1978,0-5,1,37.2,59.2
LUTZ *,6/1/1978,0-5,2,43.8,78
LUTZ *,6/1/1978,0-5,3,39.1,64.3
LUTZ *,6/1/1978,0-5,4,43.9,78.2
LUTZ *,6/1/1978,0-5,5,44.4,79.9
LUTZ *,6/1/1978,0-5,6,39.2,64.6
LUTZ *,6/1/1978,0-5,7,36.7,58
LUTZ *,6/1/1978,0-5,8,39.6,65.5
LUTZ *,6/1/1978,0-5,9,41.5,71.1
LUTZ *,6/1/1978,0-5,10,46.7,87.5
LUTZ *,6/8/1978,0-5,1,44.8,81.1
LUTZ *,6/8/1978,0-5,2,45.2,82.4
LUTZ *,6/8/1978,0-5,3,49,96.2
LUTZ *,6/8/1978,0-5,4,41.5,70.9
LUTZ *,6/8/1978,0-5,5,41.4,70.8
LUTZ *,6/8/1978,0-5,6,41,69.5
LUTZ *,6/8/1978,0-5,7,34.6,52.9
LUTZ *,6/8/1978,0-5,8,55.4,124.3
LUTZ *,6/8/1978,0-5,9,42.8,74.8
LUTZ *,6/8/1978,0-5,10,40.7,68.6
LUTZ *,6/16/1978,0-5,1,48.3,93.4
LUTZ *,6/16/1978,0-5,2,44.6,80.4
LUTZ *,6/16/1978,0-5,3,47.8,91.6
LUTZ *,6/16/1978,0-5,4,39.3,64.9
LUTZ *,6/16/1978,0-5,5,38.7,63.2
LUTZ *,6/16/1978,0-5,6,38.6,62.8
LUTZ *,6/16/1978,0-5,7,43.2,76
LUTZ *,6/16/1978,0-5,8,43.7,77.6
LUTZ *,6/16/1978,0-5,9,49.2,96.9
LUTZ *,6/16/1978,0-5,10,47.7,91.4
LUTZ *,6/23/1978,0-5,1,42.7,74.6
LUTZ *,6/23/1978,0-5,2,44.3,79.4
LUTZ *,6/23/1978,0-5,3,36.5,57.4
LUTZ *,6/23/1978,0-5,4,36.2,56.8
LUTZ *,6/23/1978,0-5,5,42.1,72.8
LUTZ *,6/23/1978,0-5,6,37.9,60.9
LUTZ *,6/23/1978,0-5,7,39,63.9
LUTZ *,6/23/1978,0-5,8,42.8,74.9
LUTZ *,6/23/1978,0-5,9,35.9,55.9
LUTZ *,6/23/1978,0-5,10,40.9,69.1
LUTZ *,6/29/1978,0-5,1,45.2,82.3
LUTZ *,6/29/1978,0-5,2,44.7,80.8
LUTZ *,6/29/1978,0-5,3,38.3,62
LUTZ *,6/29/1978,0-5,4,37.3,59.6
LUTZ *,6/29/1978,0-5,5,42.7,74.5
LUTZ *,6/29/1978,0-5,6,39.8,66.2
LUTZ *,6/29/1978,0-5,7,40.8,69
LUTZ *,6/29/1978,0-5,8,42.5,73.8
LUTZ *,6/29/1978,0-5,9,36.8,58.1
LUTZ *,6/29/1978,0-5,10,39.9,66.4
LUTZ *,7/6/1978,0-5,1,43,75.5
LUTZ *,7/6/1978,0-5,2,39.4,65
LUTZ *,7/6/1978,0-5,3,38.9,63.6
LUTZ *,7/6/1978,0-5,4,38.5,62.6
LUTZ *,7/6/1978,0-5,5,42.5,73.8
LUTZ *,7/6/1978,0-5,6,38.4,62.4
LUTZ *,7/6/1978,0-5,7,39.3,64.6
LUTZ *,7/6/1978,0-5,8,41.5,71
LUTZ *,7/6/1978,0-5,9,36.4,57.1
LUTZ *,7/6/1978,0-5,10,40.1,66.8
LUTZ *,7/13/1978,0-5,1,44.1,79
LUTZ *,7/13/1978,0-5,2,45.3,82.9
LUTZ *,7/13/1978,0-5,3,39.3,64.9
LUTZ *,7/13/1978,0-5,4,38.2,61.9
LUTZ *,7/13/1978,0-5,5,41.8,71.9
LUTZ *,7/13/1978,0-5,6,39.6,65.4
LUTZ *,7/13/1978,0-5,7,43.7,77.6
LUTZ *,7/13/1978,0-5,8,38.8,63.3
LUTZ *,7/13/1978,0-5,9,39.2,64.4
LUTZ *,7/13/1978,0-5,10,37.9,61.1
LUTZ *,7/20/1978,0-5,1,48.3,93.4
LUTZ *,7/20/1978,0-5,2,42.2,73
LUTZ *,7/20/1978,0-5,3,38.7,63
LUTZ *,7/20/1978,0-5,4,37.7,60.6
LUTZ *,7/20/1978,0-5,5,41.3,70.4
LUTZ *,7/20/1978,0-5,6,40.3,67.6
LUTZ *,7/20/1978,0-5,7,40.1,66.9
LUTZ *,7/20/1978,0-5,8,41,69.4
LUTZ *,7/20/1978,0-5,9,37.5,60
LUTZ *,7/20/1978,0-5,10,41.2,70.2
LUTZ *,7/27/1978,0-5,1,57,132.6
LUTZ *,7/27/1978,0-5,2,45.9,84.9
LUTZ *,7/27/1978,0-5,3,45.4,83.2
LUTZ *,7/27/1978,0-5,4,51.1,104.7
LUTZ *,7/27/1978,0-5,5,38.3,61.9
LUTZ *,7/27/1978,0-5,6,42.6,74.1
LUTZ *,7/27/1978,0-5,7,52.4,110.1
LUTZ *,7/27/1978,0-5,8,50.1,100.3
LUTZ *,7/27/1978,0-5,9,50.4,101.8
LUTZ *,7/27/1978,0-5,10,41.8,71.9
LUTZ *,8/3/1978,0-5,1,41.6,71.1
LUTZ *,8/3/1978,0-5,2,43.8,77.8
LUTZ *,8/3/1978,0-5,3,41.3,70.3
LUTZ *,8/3/1978,0-5,4,36.3,57
LUTZ *,8/3/1978,0-5,5,37.9,61
LUTZ *,8/3/1978,0-5,6,40.2,67.1
LUTZ *,8/3/1978,0-5,7,41.3,70.3
LUTZ *,8/3/1978,0-5,8,38.1,61.6
LUTZ *,8/3/1978,0-5,9,37.2,59.3
LUTZ *,8/3/1978,0-5,10,36,56.3
LUTZ *,8/11/1978,0-5,1,47.8,91.5
LUTZ *,8/11/1978,0-5,2,51.5,106.1
LUTZ *,8/11/1978,0-5,3,46.3,86.2
LUTZ *,8/11/1978,0-5,4,39.4,64.9
LUTZ *,8/11/1978,0-5,5,43,75.4
LUTZ *,8/11/1978,0-5,6,38.8,63.4
LUTZ *,8/11/1978,0-5,7,50.8,103.2
LUTZ *,8/11/1978,0-5,8,55.8,126.1
LUTZ *,8/11/1978,0-5,9,45.6,84
LUTZ *,8/11/1978,0-5,10,44.1,78.7
LUTZ *,8/18/1978,0-5,1,46.6,87.3
LUTZ *,8/18/1978,0-5,2,40.5,68.2
LUTZ *,8/18/1978,0-5,3,41.7,71.5
LUTZ *,8/18/1978,0-5,4,50.2,100.8
LUTZ *,8/18/1978,0-5,5,38.6,63
LUTZ *,8/18/1978,0-5,6,46.4,86.4
LUTZ *,8/18/1978,0-5,7,45,81.9
